round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum
0,5045593993.881101,5.1334315094332916e-05,1341313803.7036414,304152604.7598071,1.0000007881172321,4008432217.240751,ok,1916162576.719488
1,4002556186.143538,8.688642195231165e-05,777463685.3751221,229570326.70594093,1.000000044284005,3454662813.377739,ok,1110662407.6787455
2,3455061821.841392,0.00018737389689784797,355198033.34335595,149565475.162051,1.0000002681562594,3249429248.6253586,ok,507425761.91907984
3,3250596618.826802,0.00025026168038281,276447208.91150707,246870484.2523079,0.5599033228876624,3173204763.390516,ok,394924584.1591927
4,3173559372.8839345,0.00023149840093489874,284949924.87688047,84248176.33125505,1.0000000021282829,2972857624.0904627,ok,407071321.25254637
5,2973696567.8957715,0.00021227072803616832,327850824.96204615,345551746.18056196,0.47438745222073553,2895932409.1146655,ok,468358321.37421745
6,2896482867.5399175,0.00022197096054888448,292622985.2334827,113434499.3773022,1.000000000006989,2717294381.683277,ok,418032836.0478325
7,2717848741.159484,0.00013466135265697657,454442995.50925696,953676179.0655171,0.2382585438773117,2663711277.9668446,ok,649204279.2987672
8,2665067805.1049066,0.000238334454738512,273447685.5891141,35109560.90554882,1.000000000000004,2426729680.4213405,ok,390639550.8415916
9,2425975898.7160506,0.00022476755576164752,290098675.4038102,193867012.2600095,0.748189885483811,2317451451.3513594,ok,414426679.14830023
10,2325134942.902823,0.00017733456483385,365940375.92229813,170606907.2461987,1.0000000000935607,2129801474.22441,ok,522771965.60317636
11,2128565327.1312215,0.00015213276880316872,386210716.28800064,791328503.7758907,0.24402679446346467,2081442445.5896218,ok,551729594.6970239
12,2082248538.5236797,0.00023022298346875373,268066352.50906214,34648403.6969532,1.0000000000077371,1848830589.7100327,ok,382951932.1558021
13,1847445539.5054767,0.00021888150720286338,280873941.21752906,337358093.2499056,0.4162845754073334,1788983794.824115,ok,401248487.45350707
14,1790423660.802662,0.000214923171634458,284010974.38222426,113365838.94765836,1.0000000000004845,1619778525.3680682,ok,405729963.40308845
15,1618667667.0796824,0.00014495992108855545,374930273.4467932,864699666.6087164,0.2167979750224954,1578025605.0507348,ok,535614676.3525611
16,1580924947.7281759,0.00025481717784753565,235147690.93666238,27184796.363857977,1.0000000000000921,1372962053.1553547,ok,335925272.7666606
17,1373235598.25274,0.00026649602666663956,227042220.2474528,224566428.0238818,0.5055123827843664,1315849271.3777685,ok,324346028.92493206
18,1320197199.3564456,0.0002279837747470211,258544117.6098859,134188222.69223736,0.9633636709044898,1195661194.2407346,ok,369348739.4426942
19,1195550847.661041,0.00014961765242422792,340212356.7214414,894574789.6890777,0.19015310997065268,1163204628.8205273,ok,486017652.459118
20,1163246909.9909472,0.0001943340838617343,74223029.28705195,5297774.911915989,1.0000000482959785,1094321652.5428598,ok,106032898.98147169
21,1092623778.4106648,0.0002171475155500277,70726359.86340398,5589695.193932532,1.0000000339801167,1027487111.7177804,ok,101037656.94768637
22,1027724085.0621552,0.00025024615226476035,60998644.96552629,4027219.7527542235,1.000000011913074,970752659.2186549,ok,87140921.37932327
23,970138867.5162774,0.00027318172852085215,55437443.44872499,2788702.15867747,1.0000000516518959,917490123.6508644,ok,79196347.78389284
24,918031654.6519793,0.00028828008023158594,51501656.49132211,2248239.7289394545,1.0000011802468618,868778182.411887,ok,73573794.98757719
