round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
20,1915915.9663426627,0.00409690998325419,1770926.0207102003,6921927.84842325,0.12792144468203323,1802646.2588455363,ok
21,1795664.575629172,0.007377237395684753,802090.7412565514,452608.9516672846,0.8860747653154823,1440308.3929688619,ok
22,1414583.2547007427,0.0042226001281582765,2022362.834697916,8526555.61002069,0.11859201576784231,1294665.212110346,ok
23,1288443.37559417,0.007705349009281306,842775.39727908,1270043.9777279203,0.33178984824871416,1148631.2150086823,ok
24,1167727.911110878,0.005753003000635745,1433707.6082269181,9050232.392674781,0.07920833112458829,1110947.1176267385,ok
25,1115159.7644989865,0.007319616821575079,956361.2662410504,4342687.253162204,0.11011169012282189,1062506.4868020846,ok
26,1053130.5478484011,0.010146680480575971,560813.9625724541,1186633.3283675623,0.23630465669793693,986869.0723998544,ok
27,1005758.8999737203,0.006044346897012485,1046712.3984417872,7526138.620077163,0.06953847459369913,969365.5082107433,ok
28,970099.4830279866,0.014955507081180142,502448.4963003529,963328.0967250875,0.2607878343881319,904583.2554071154,ok
29,907767.4653438232,0.005751568345543958,1298850.7180881954,10036175.59935351,0.06470844921106512,865744.1574817405,ok
30,879062.936738772,0.01013247723938286,749801.0646359386,14211486.333052156,0.026380107156423877,869173.0205232236,ok
31,869778.3466164015,0.013794767482496735,487749.8457610318,1002958.1324170601,0.24315563631035536,810478.7845632508,ok
32,807027.5802333136,0.00971233419416562,811983.8156651345,6546116.87029665,0.062020265735672535,781847.8542230051,ok
33,781791.4086423394,0.016312728761724467,348257.70866997266,591347.3382771162,0.29446121266447023,730517.2150349845,ok
34,723779.1718340036,0.012306156162811485,628802.8013910472,6182967.501552392,0.05084959618768578,707791.9875677935,ok
35,709424.2898107846,0.018238613454875575,344479.7443941517,1166533.0600433296,0.14765108516571163,683992.885772083,ok
36,684304.723751437,0.01738443207458915,434768.12704027444,5104410.862253055,0.04258749332419241,675046.8813974874,ok
37,678181.1275357644,0.02086585988247249,461954.39514456264,4895909.931833847,0.04717758308224531,667284.1816071939,ok
38,664373.8140130359,0.019918260664378337,391614.1272486203,2730716.6316680317,0.07170537629336637,650333.3948349556,ok
39,648794.6235874204,0.023976333425382832,267056.6159989177,3028196.1437735953,0.04409499968290105,642906.692888526,ok
40,642410.5494230086,0.02446143106099456,174841.64298395856,199439.39149232363,0.43833277286821287,604091.1383320122,ok
41,604824.6550135348,0.008988056164584273,897754.6982536544,10436529.33513242,0.04301021294653715,585518.344640713,ok
42,585674.4527550493,0.023824115886533555,322613.66789036215,3758660.0980909904,0.04291604713794371,578751.8010657855,ok
43,575701.9334206977,0.03142113431379469,224687.4820788582,1640865.521920192,0.0684661476145595,568010.1902631202,ok
44,568826.0503938077,0.022723965990314943,352840.473509219,8831701.449381143,0.019975792633589496,565301.9163280288,ok
45,566702.0017902674,0.030498807391465214,195595.13961963126,956700.423457645,0.1022238178345965,556704.7608293627,ok
46,557483.6367086101,0.015180228869742662,493847.34548042517,8949453.879172284,0.027590920750468186,550670.7852226204,ok
47,548992.0492344563,0.0327785081418547,237047.56786782286,3953634.0657109804,0.02997844058504118,545438.8910198793,ok
48,545883.7536602312,0.02932234978818622,215188.70875197646,2041505.4037571638,0.052703438442030466,540213.1612276664,ok
49,540729.8447407106,0.031343828781582275,190986.13238972196,1904916.7350655706,0.05012978490714658,535942.7978722382,ok
50,535950.1511841707,0.033045020905002394,204474.07357014637,2250207.6770725306,0.04543448937036837,531305.0636231015,ok
51,530657.0489347164,0.02594925041305527,232227.7453503719,5114529.13497328,0.02270274928755344,528020.9447945647,ok
52,528560.9180377211,0.04385301138372356,124819.79566385817,393405.51422381785,0.15864011961058225,518660.2043807796,ok
53,520756.53281023493,0.018050918792407833,479704.4216796847,10410219.83623253,0.023040071642391476,515230.32068889897,ok
54,513668.92784114595,0.03302182239573981,213021.07466120983,1785033.9082023168,0.059668635335824075,507313.5894297434,ok
55,508466.6567863276,0.02552656411104758,255895.5292477896,5410452.895969652,0.023648254052670063,505440.91554303054,ok
56,506162.437992284,0.04143357619520375,137832.30512023295,1492687.2565639466,0.04616918397143435,502980.6354661326,ok
57,504957.8230084824,0.018793329692388706,319553.1860973493,13925022.366434308,0.01147406365635789,503124.5362090459,ok
58,502862.20353063766,0.054815415097569875,168892.71438084324,3368003.0509941336,0.02507312372104164,500744.8695690109,ok
59,502484.6260737557,0.024126642570168288,179300.7999482045,2625184.2208806854,0.03415013668794136,499423.05266051146,ok
60,504589.6847738306,0.02004469893385106,217246.37340622055,3655048.053979388,0.02971867540423939,501361.54754682677,ok
61,501516.82461796125,0.04727815564005126,96923.49192376249,402561.90269707545,0.12038333890315575,495682.83782999346,ok
62,496924.4654542311,0.015150490554882429,528925.2446878602,16994025.222824093,0.015562094258206668,492808.8731975423,ok
63,493358.2184673312,0.029960265396973763,225033.71602651963,4623580.887133153,0.02433543626897069,490620.07163996465,ok
64,491983.2920794223,0.036742406229136014,267771.40993193333,15304314.198740872,0.008748232898732687,490812.028750569,ok
65,490348.4557150902,0.046042102546994895,115603.64197408737,381789.6280141364,0.1513970436748048,481597.4308986315,ok
66,482225.31328395737,0.021602208557290087,346035.20914047916,6972138.442187601,0.024815572152631124,477931.78243406914,ok
67,477959.57663197635,0.04871162186206545,159969.0545661849,2778437.872937535,0.02878758890459836,475657.01494182204,ok
68,475764.85960274434,0.04404248728319835,143394.79912218204,2685870.339908921,0.026694289182821202,473850.9484852043,ok
69,473427.17426583695,0.03538708182898735,135385.6540173338,4736349.500753114,0.014292194230578478,472459.6952342121,ok
70,472384.59618330037,0.04704336197094612,110328.20489633456,259113.09118159156,0.2128958525276023,460640.3875636778,ok
71,461954.5861638531,0.017492316384736906,502197.89816218364,8841583.68287103,0.02839977068447032,454823.4335908386,ok
72,453991.679916125,0.029994803818472464,260235.94008761962,8750158.817831736,0.014870355241855218,452056.77947822446,ok
73,451751.5165991168,0.05273419202948972,124701.93643809803,1044665.4889856335,0.05968510386955693,448030.0925845954,ok
74,446125.6106775569,0.05728419084829589,117193.88656144672,2714207.7933659763,0.02158896729423041,444860.5631855275,ok
75,443691.58045704215,0.047299806033725286,124745.19165148024,3809194.520738737,0.016374221764249488,442670.27774097957,ok
76,441991.97718799044,0.058319997454272875,104168.16892069888,3024649.8794733984,0.017219872228456886,441095.0959084471,ok
77,441743.58098741,0.03704017488569928,120522.69694709365,3398698.1733324383,0.01773071493855552,440675.1041958126,ok
78,440922.26708644134,0.034670213891484176,142836.10631240974,3396270.0774903395,0.021028378640893883,439420.46122287714,ok
79,439831.4472141432,0.07013017146827438,82310.37652566948,878582.5756225488,0.046842709387530095,437903.62669055816,ok
80,439494.05181869084,0.024184954430150857,226826.88086295364,4737432.653800825,0.023939852810463836,436778.95074803295,ok
81,435708.94981455844,0.05056400633508558,137760.93251987646,3676715.023999426,0.018734241248050825,434418.52654236654,ok
82,433096.7160313655,0.04610847138398558,121635.34512491644,3756511.1266003046,0.016189935424868306,432112.08183988853,ok
