round,beta_used,J_used,beta_best,J_best
0,0.0006061716540533689,95866840.32536855,0.0030179245266349847,131165205.40097153
50,0.007731433156854176,881699.6541131511,0.05514687205795753,1515878.0692918727
100,0.026239196702211108,197962.03042097762,0.02468978854887344,196511.01158486214
150,0.04124320282931559,114091.24492915347,0.04436352997795356,114363.71407299204
200,0.053555797355946115,91958.40371946618,0.06113346125515064,97883.45878849275
250,0.07837583457042871,58230.90814641304,0.09932313633041534,63500.32422045825
300,0.08080949460002466,6253.285983338952,0.043358664790848274,24184.205858684225
350,0.02698678836396368,7607.436272535473,0.018890763999900643,8134.168921680461
400,0.09827075905744698,2019.5960085354745,0.03049962574123027,6032.476371532529
450,0.0625078030700937,1755.375773448497,0.029131938981891002,3431.309881455825
500,0.07496222262980229,848.5197881329805,0.029964903074423788,2945.0384930291766
550,0.1035819449735199,1142.7233279831707,0.03669324609872158,3126.244246088499
600,0.1853997360154759,4954.489192631096,0.14369152759031448,8513.841426749346
650,0.21704257483427533,3154.0658237338066,0.09153634101305864,7174.13852395316
700,0.21169765986113193,1137.5771287921816,0.08367892879586135,4899.529200977186
750,0.247552224400616,2546.3241651337594,0.19400928142111146,4931.151773798254
800,0.07052236144099228,1356.6336035076529,0.026037351076231768,1700.188643953914
850,0.2698824871372547,1437.9412889741361,0.11377180220798537,3659.3473477321068
900,0.21021365336285258,226.95429763756692,0.057431524509972076,893.9035590082017
950,0.30341424590257554,2909.5534188896418,0.16542741687033743,4646.666618577644
1000,0.2985244625350279,883.3967420775443,0.13756918109126057,3559.011032264065
1050,0.27869558492165436,1041.1619597487152,0.11590047191425222,3037.8757441466073
1100,0.2597189928101946,439.4683138988912,0.1231754590874887,1220.601065304334
1150,0.3079009124967512,276.20435913465917,0.09214000184980353,1201.2671500371748
1200,0.3467319764915499,1077.544534260407,0.23487826415734964,3254.699692008632
1250,0.11819249375563784,676.3548063263297,0.0639032096475719,1084.6575618122722
1300,0.17930073956126447,514.9796675723046,0.058599290523774855,1165.5991656871906
1350,0.3510840233659262,116.02432642690837,0.10385180020957782,657.4144661991533
1400,0.40329393312849443,306.4988699760288,0.19786554173533538,1329.9030470857115
1450,0.4525454023599182,2893.9949736222625,0.3258115463804506,3572.951527536829
1500,0.43592690898611647,762.8239303566515,0.2810662365110839,2087.4502981764604
1550,0.4580652965553624,2558.691386290826,0.4193471223215352,2644.132799490463
1600,0.35620854987697875,465.71821322478354,0.11343815720944976,1030.5031348056
1650,0.46017521265418143,2494.1889852285385,0.5339209974543965,2444.347399989015
1700,0.4796753250950208,110.74120584782213,0.16179865575317914,979.4631716175438
1750,0.451726928202802,43.93816231749952,0.13551488728062674,680.2004795325411
1800,0.3083323101549258,106.28993703611195,0.08515329760628966,319.9803267841721
1850,0.46749930737918693,322.8945227917284,0.2587198209866344,1396.7955731370578
1900,0.5230219402826475,345.5217789588496,0.2377428729538488,1259.0970595217398
1950,0.40262903868954486,86.77918845135719,0.11582098506448922,346.1266756123553
2000,0.2989174760363325,108.47981389984488,0.1289971945209893,636.961814835579
2050,0.602707094824778,480.5147666716948,0.30648951480248465,804.9239621573579
