round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
0,18591.0,0.03267555000024993,21578.500000000233,15974.304592332684,0.6754128129733247,11303.802307627479,ok
1,11079.5,0.050509796002775616,13418.750000001608,16928.68092575881,0.39633182463683675,8420.361164076905,ok
2,8493.5,0.06870031247595287,9730.000000000038,14419.60628489968,0.3373878526138875,6852.1080970334315,ok
3,7118.0,0.054435504160723194,11182.750000000973,23811.23669603756,0.23482085669791988,5805.028532380554,ok
4,5782.0,0.11313782295312268,5679.000000000577,8478.142228749515,0.3349200713301905,4830.994457457828,ok
5,4850.0,0.09713806975698583,6470.000000000699,21655.25548647996,0.14938636960529325,4366.735094326824,ok
6,4142.5,0.1571099753083226,3841.500000000135,4646.919230710221,0.41333836562218573,3348.5803342311588,ok
7,3252.0,0.11772738024044292,5341.750000000511,16627.213832776597,0.1606327450204111,2822.9700171435684,ok
8,2821.0,0.19281986489633746,2861.5000000001446,5572.824355729827,0.2567369629241973,2453.6735902961864,ok
9,2392.0,0.203516407836572,2908.25,12026.535245823785,0.12090971923979062,2216.1821545104394,ok
10,2274.5,0.21530435821528815,2216.7500000000273,7714.347708875913,0.14367708610343663,2115.2519096901015,ok
11,2123.5,0.25835750707250005,2084.25000000001,5744.7868911644755,0.18140359594588285,1934.454777574896,ok
12,2028.5,0.17298871545073877,3137.7500000001373,24410.414841947106,0.06427072256486596,1927.6672701360415,ok
13,1951.5,0.30461504127750216,1703.0000000000039,5495.50637387181,0.154944775252819,1819.5645238722243,ok
14,1750.0,0.2921180718129487,1702.7500000000418,5115.430982287815,0.1664327019459177,1608.303358380791,ok
15,1609.5,0.24290003340586258,2026.5000000000584,9911.09780066062,0.10223388169295347,1505.9115193746118,ok
16,1469.5,0.3924353949306221,1006.7500000000223,2246.525289072331,0.22406825440539435,1356.709642438682,ok
17,1307.5,0.425971140045166,949.750000000019,3039.7267473491092,0.15622292379212685,1233.3136390642123,ok
18,1253.0,0.2750649735052595,1887.250000000112,19374.465837905605,0.048704568574679356,1207.0411514787156,ok
19,1181.5,0.47536437464815684,859.7500000000641,2760.9954152933296,0.15569565875369695,1114.5703286932494,ok
20,1106.0,0.49248195242211357,948.0000000000485,3948.371376731681,0.12004949757091603,1049.096538151383,ok
21,1038.5,0.5603040987047356,587.7500000000304,2851.3805621615975,0.10306411003139898,1008.2120346645211,ok
22,1005.5,0.43334602219022367,816.0000000000141,7554.938047957807,0.054004413723855026,983.4661992006668,ok
23,1005.5,0.4298665600744532,812.750000000026,7422.371765814412,0.05475001964623688,983.2509607662597,ok
24,983.5,0.7376252332201367,393.00000000000836,674.9102960376018,0.29114980339410385,926.2890636330574,ok
25,950.5,0.5194838937150692,715.2500000000127,4591.180043895223,0.07789391759435166,922.6431877203195,ok
26,953.0,0.4698343804835078,729.7500000000535,5849.734404520091,0.062374626738281966,930.2410580688677,ok
27,930.5,0.6987973889559049,422.75000000001035,1323.352720208361,0.15972687913976882,896.7377309218305,ok
28,864.0,0.6963647107235151,506.0000000000305,2291.58915842269,0.11040373405072144,836.0678552851658,ok
29,887.0,0.35747538283107794,1206.2500000000891,13646.216863977055,0.04419723107230979,860.3435450095112,ok
30,886.0,0.4866110081274225,678.250000000025,2752.856337945789,0.12319022802805293,844.2231139199849,ok
31,843.5,0.7176035826276304,402.50000000002365,923.5653256011361,0.21790553891682857,799.6465102929857,ok
32,900.5,0.2780844156793745,1680.250000000023,13526.064263751688,0.0621115635426523,848.3185226787285,ok
33,840.5,0.6218817715085804,544.5000000000268,1629.2358835024322,0.1671028748855856,795.0062423123971,ok
34,784.5,0.5585366119248092,598.7500000000277,2520.985515118643,0.11875316149364097,748.9482722778396,ok
35,760.0,0.6058981394202504,500.7500000000486,2152.265614712765,0.11633090185917346,730.8736504470066,ok
36,710.0,0.6365382451753898,332.25000000000097,1247.979667599203,0.13311514947962488,687.8862457926972,ok
37,675.0,0.8456578543654409,279.50000000000324,1314.6487517972578,0.10630215851112264,660.1442733480704,ok
38,652.5,0.9062728644678112,235.00000000001273,917.9774484094523,0.1279987871200916,637.4601425133884,ok
39,648.5,0.9490511484816813,205.0000000000104,386.1694819429229,0.26542749956392214,621.2936812946966,ok
40,633.0,0.7646418394765464,396.25000000000745,3456.7071123073065,0.05731610852843066,621.6442459978045,ok
41,622.0,0.9903105398364512,204.5000000000089,885.5009692388362,0.11547135864560043,610.1930535784869,ok
42,608.5,1.0873147851766023,197.75000000001333,537.1110163909941,0.18408671016352762,590.2984265325799,ok
43,598.5,0.7421104189325061,276.2500000000122,2039.4052815072412,0.06772807801003808,589.1450592248631,ok
44,598.5,0.7785234084991624,279.2500000000173,2198.273116810218,0.06351576559449995,589.6316112288673,ok
45,580.5,1.276136360277866,133.75000000000696,186.07338876292468,0.3594012042485486,556.465044465877,ok
46,562.0,1.4679973098166434,131.75000000000117,324.2275862716056,0.20317518554641759,548.6158346521297,ok
47,558.5,1.3060667371146777,154.50000000000261,253.66240333652732,0.30453862686744215,534.9743910744896,ok
48,537.5,1.0068340513849185,246.0000000000033,1102.9295530573236,0.11152117527275004,523.7828954414515,ok
49,522.5,0.8593260673271922,167.00000000000517,903.097885335649,0.09245952333170245,514.7796298018026,ok
50,502.5,1.7525599780048648,70.0000000000005,92.50118639103262,0.378373525416678,489.25692661041614,ok
51,481.5,1.3892393134751946,73.50000000000105,50.388946980752124,0.7293266123231056,454.6972469971255,ok
52,446.0,0.9474742973510735,172.25000000000753,1638.4475541191728,0.05256500263525643,441.4728391480383,ok
53,446.0,1.0082363344227026,152.50000000001404,1100.8896288985607,0.06926216579612535,440.71875985804496,ok
54,446.0,0.9999971411953342,150.25000000000026,1306.5626345224127,0.057498200250813494,441.6804477061576,ok
