round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum,temp
0,451726084.0,0.0001477107732097215,228516706.00011826,81459185.15905799,1.000022062002477,304667115.9679442,ok,457033412.0,-0.1981778751528669
1,304398404.0,0.00023994363879445147,139700474.5,18094773.76958329,1.0000000149212542,182792701.72507042,ok,279400949.0,-0.08926685693942149
2,182555308.0,0.0002794233735955387,103543177.0,22272307.366717316,1.0000013494552107,101284358.7508406,ok,207086354.0,-0.005023621206416529
3,100756344.0,0.00037532111133339576,83822813.5,21932749.05469131,1.0000054518287202,38866061.71490358,ok,167645627.0,-0.030812033936259642
4,38969864.0,0.0006078156376685711,43117834.500021234,19487716.39722615,1.000001002842286,15339741.743048918,ok,86235669.0,0.005065925337467636
5,15532512.0,0.0007271272937371719,37005637.00001783,60895373.768215224,0.3038460453570053,9910503.770813854,ok,74011274.0,-0.0839077322279822
6,10062921.0,0.0014812520009177639,21819431.5,54114312.97368618,0.2016049941409216,7863467.820142129,ok,43638863.0,-0.03300548238010892
7,7922281.0,0.0013961603622399674,19200856.0,67747921.06009047,0.14170808269503496,6561822.755068271,ok,38401712.0,-0.05120119840761461
8,6491669.0,0.0017663827799639972,4297500.5,1726316.313274836,1.00001468875459,3920472.403590451,ok,8595001.0,-0.04140414046442231
9,3845833.0,0.0023233370717572503,3237856.5,6045141.435299475,0.26780651326808846,3412273.470136292,ok,6475713.0,-0.07288915330132228
10,3419747.0,0.0028119441858758306,2246874.500000001,7074538.867245246,0.15880006754948478,3241345.088812392,ok,4493749.0,-0.06180168370185335
11,3246904.0,0.0033807259850056883,2360958.5,1937468.9598305747,0.6092893741653693,2527650.5365522956,ok,4721917.0,-0.053951300985532136
12,2538503.0,0.0029996049071063717,3457985.500000001,10892452.33204788,0.15873310227054574,2264054.6169892177,ok,6915971.0,-0.05330228763161449
13,2284843.0,0.004358975207908341,2153353.0,2434856.496647775,0.44219300048373705,1808744.1879146714,ok,4306706.0,-0.0550821320902708
14,1803040.0,0.004481774416648253,1725591.0000008526,4154275.736572864,0.20768854903025846,1623847.254495075,ok,3451182.0,-0.07229032125495705
15,1649254.0,0.005326482828458741,1489399.5,2904896.201199313,0.2563601927299653,1458342.628564043,ok,2978799.0,-0.0690670712952226
16,1482109.0,0.005751952299469292,1474515.5,1556086.669269201,0.47378964460009476,1132803.9126488343,ok,2949031.0,-0.06444043332623561
17,1126274.0,0.0047193083014862025,1849691.0000007944,7704321.166573415,0.12004243852307274,1015253.2909228618,ok,3699382.0,-0.07727449882977133
18,1005307.0,0.006612612437093683,1150888.5,1968617.930001556,0.2923087518559506,837099.6095198162,ok,2301777.0,-0.07158244674427383
19,831126.0,0.004296168476423535,1556645.500000935,14855542.810015678,0.052392750635521616,790347.5302452721,ok,3113291.0,-0.07157253554459775
20,799126.0,0.007798683175668115,1153656.5,4458148.584398825,0.12938739906933464,724491.6930227841,ok,2307313.0,-0.07382577084211217
21,718431.0,0.010244052645627033,1100511.5,7772921.082319641,0.0707913722746545,679477.6403554807,ok,2201023.0,-0.07542668108250572
22,690716.0,0.008328656000010549,785748.5000004042,2691870.2184754647,0.1459484366310593,633376.6174198706,ok,1571497.0,-0.07435925539914123
23,633016.0,0.009857174089329963,864232.5000000001,4158144.6925213807,0.10392044576447315,588110.2866779275,ok,1728465.0,-0.07532769162000008
24,584584.0,0.011897617407497191,678568.5000000001,2032218.2664526904,0.16695266232019104,527939.5911791908,ok,1357137.0,-0.07796941007083813
25,524979.0,0.010612773909552847,791636.5,3523326.1513080825,0.11234221102495638,480511.90263097105,ok,1583273.0,-0.07914762079475102
26,484502.0,0.010903005008358497,684687.5,1621295.4933713141,0.21115444494829996,412214.5954872304,ok,1369375.0,-0.08182871873565034
27,424283.0,0.008328334838912233,1059258.0,11379519.13245603,0.046542300587150615,399632.847882328,ok,2118516.0,-0.0812149876734094
28,400195.0,0.014682385190746857,561257.0,1164495.9643220727,0.24098709535964064,332567.1529098671,ok,1122514.0,-0.08041990914472263
29,325190.0,0.010005158777840776,809988.0000000001,7740598.581104489,0.05232075992012136,304000.40615691035,ok,1619976.0,-0.08665648689857086
30,309075.0,0.009878654264161511,536310.0,4178482.730009772,0.06417520840139332,291866.0969911244,ok,1072620.0,-0.08466245731029964
31,289940.0,0.018412555470129665,481109.50000020507,2476783.486753547,0.0971238508681316,266576.3963353693,ok,962219.0,-0.08324088102442406
32,263305.0,0.011802729765980026,576048.5000000001,7449100.67014335,0.038665640693302285,252168.35783854214,ok,1152097.0,-0.08330846845836826
33,249981.0,0.018356995536301393,422611.0000002096,2900272.5729671647,0.07285711762737036,234585.89033118208,ok,845222.0,-0.08215007560215115
34,233409.0,0.0174874852846497,465555.5000002304,3163382.858668079,0.07358507028710545,216280.03290496726,ok,931111.0,-0.083012366837389
35,210523.0,0.024613085668675556,280657.5,1942088.0155233892,0.07225663763863022,200383.31636096808,ok,561315.0,-0.08258057840135713
36,201447.0,0.019399500893324945,325238.5,1240327.1851180703,0.131109961912606,180125.99632624345,ok,650477.0,-0.08207072666688076
37,177512.0,0.02248314554129531,388632.5000000024,2159324.3584208414,0.08998937526093055,160025.60205945311,ok,777265.0,-0.08278783314267946
38,163684.0,0.012100447104988872,615208.5000000012,9230168.688684221,0.03332596189461952,153432.79248587697,ok,1230417.0,-0.08362129187277523
39,154278.0,0.028123887644266828,267651.0000000027,2892410.9461356583,0.046267803051567045,148086.18812272244,ok,535302.0,-0.08346560471436115
40,148159.0,0.025214480629159458,300762.000000098,2346068.890715194,0.06409914073503856,138519.70711712103,ok,601524.0,-0.08326329783164699
41,140176.0,0.02322635203371224,156488.0,777428.8211360235,0.10064458362331537,132301.1651989773,ok,312976.0,-0.08273679362575592
42,134335.0,0.02266112516605338,386797.0000002158,10995682.408351725,0.017588585484536446,130933.39395016698,ok,773594.0,-0.0820649354396914
43,129485.0,0.03682045189709086,227868.0,553558.456810773,0.205821081040673,106034.98095271198,ok,455736.0,-0.08270968264108092
44,101662.0,0.019781809284435774,482848.50000000134,6378042.394993951,0.037852405965424704,92523.51127910179,ok,965697.0,-0.08490957135810762
45,94457.0,0.027869243070385394,268969.0000000001,6575656.25678328,0.020451875029396386,91706.53981260913,ok,537938.0,-0.08349305869772827
46,92826.0,0.029635206713154356,213942.50000000003,2395522.082413472,0.04465467080655221,88049.2340454846,ok,427885.0,-0.08351190018072874
47,88008.0,0.04100361435628158,228086.00000000204,1194797.8784532086,0.09544961709142108,77122.63931804296,ok,456172.0,-0.08323177823287331
48,76192.0,0.02259412800827134,310901.0,6684741.136886523,0.023254528008903937,72577.07199375189,ok,621802.0,-0.08299324545618392
