round,beta_used,J_used,beta_best,J_best
0,3.8536039021455295e-05,754762259.2399759,0.000292352867647942,1215072531.5571432
50,0.0013923484808475795,3492483.640097499,0.01746042996504582,6329569.774558401
100,0.001496610371768507,226644.18374943733,0.00551298674233246,260711.3013434233
150,0.00466480458853308,201371.88802748919,0.002853168476884174,208192.2665587105
200,0.002144820340538737,58953.16198217869,0.027522690576185473,80088.65502595942
250,0.0064027459222528,91918.24477994442,0.011678289293326882,107191.70586287955
300,0.005428532265668463,21468.5692204237,0.018288000542848893,26541.72306476323
350,0.008080671990085166,12837.535514235497,0.007814342339359457,13060.673065902292
400,0.0076215220607151754,14644.39096301794,0.019409295668642523,15750.307046797318
450,0.008995799130549242,10406.866847276688,0.009805960510193003,10603.310804733936
500,0.009818782746482447,12755.215413689613,0.009016501083240902,13164.567541038186
550,0.01370642654329933,7898.50873875618,0.045113673803567345,8932.867925818138
600,0.010817041317599314,8003.753314673901,0.008551826816078143,8222.937955858359
650,0.00989168927020736,7774.761771380901,0.011325661415972918,7644.167016091454
700,0.008123499728926061,2486.2420340180397,0.06004863800044958,3991.447829290413
750,0.009687426708958887,4126.936115026474,0.009895973991958459,4133.245925908805
800,0.015194845155004145,5166.886426270008,0.018847755972601524,5060.114689374563
850,0.02413819792795094,4308.669883549213,0.01116585275184405,5576.379229815465
