round,beta_used,J_used,beta_best,J_best
0,6.027006625630734e-05,797171707.1556101,0.00027361352651902453,1292215784.6039963
50,0.0022007937986139553,3258505.405590415,0.01938236259827052,6085933.480402065
100,0.004856682949616712,470144.24139249325,0.006580954718563104,557939.3232369368
150,0.007565940632822998,510652.53056156635,0.014935420791595747,698693.8457347117
200,0.008687137898669256,327541.7902815342,0.009285286147553739,340828.4345828645
250,0.00860245707701981,34278.65499287844,0.01570935723559336,44279.53376332395
300,0.008134170387207124,25866.262953281403,0.003230147121647243,32280.72764033383
350,0.011549289268961621,18634.430372476578,0.005381331510793445,24075.595387913956
400,0.017040190904557648,72286.3705611825,0.017980828227276608,73521.40818662492
450,0.012569358643179492,11777.76772147417,0.004815257526763484,12329.77750850449
500,0.005395159790563978,17694.59623605013,0.018987922245282427,19254.436670256036
550,0.014042355801029837,19043.02490580082,0.025972673621953,26539.894985733656
600,0.016903495407115547,8992.26585650444,0.036180981095049414,10486.576242229308
650,0.030802391265682905,7109.6837013959885,0.01583091691407981,25680.42124786058
700,0.023405599044720567,15816.59944742918,0.013473626723646707,19613.151919503678
750,0.023086423495353288,3269.5325526595116,0.01065027383472368,9623.336060181164
800,0.02327174520648648,4724.786060392857,0.010523291240398087,6456.051922847088
850,0.032549547380530355,29454.199057638645,0.02911168176693862,27590.0961181003
