round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
128,762327.8931382382,0.07391007534146396,118378.71655636099,10599188.43429058,0.005584329276257662,761997.3602719625,ok
129,762074.7377630987,0.09972768259261744,72241.70565075328,3133622.794987741,0.011526866884920637,761658.3775008108,ok
130,761742.6716867507,0.11769121200694545,57233.1444204618,2924194.452589877,0.009786138601311552,761462.625944807,ok
131,761396.5782961206,0.1370529958505419,35374.07144599026,1123636.4699159337,0.015740887908629743,761118.168649369,ok
132,761156.2049700897,0.11329363255757281,46079.86288854963,1852448.1931221476,0.012437557784243847,760869.6444914065,ok
133,760692.8210136107,0.15684452831239515,29379.570874657547,702343.9648396558,0.020915372200403876,760385.5786836449,ok
134,760179.1268762726,0.15389310635097958,32627.361676931425,835818.4517780296,0.019518210926980323,759860.7130126719,ok
135,759702.9904796595,0.11019618227254421,48542.23810443021,1834345.2523542696,0.01323148901280422,759381.8474345917,ok
136,759048.944174654,0.1420610996390272,32777.30578540996,678927.071378747,0.024139047599653584,758653.3377023828,ok
137,758553.488058645,0.0736937172459442,81271.52394439786,8231866.852301196,0.004936396895297124,758352.8938094074,ok
138,758128.0125177008,0.13422579023905012,41168.54479241324,2436072.840197444,0.008449777057790382,757954.080005056,ok
139,758325.0075981318,0.059978883253256295,68469.82084978595,3257992.251734716,0.010507977852514725,757965.2679176042,ok
140,758118.0886606701,0.15317426761716482,40249.86134911097,2983899.897675911,0.006744505970267407,757982.3559455844,ok
141,757773.2463754496,0.13885204848035854,28345.498592274664,329680.84090387175,0.04298930219081132,757163.9697730833,ok
142,757494.565309725,0.05166032331379744,114931.5291043772,12930554.622484002,0.0044441840454597014,757239.176875742,ok
143,757017.5387428646,0.10262334064995193,54860.085179658636,4898051.744994381,0.005600194529970361,756863.9251683962,ok
144,756932.7521352589,0.11239360406669574,45700.45131748114,2118003.4478712277,0.010788568678538732,756686.2309064195,ok
145,756717.7774639399,0.1203499274081518,34932.46007593809,774113.1631527632,0.02256288985816182,756323.6888393558,ok
146,756342.0184261439,0.14429911288909864,20983.091809873935,140286.40794752174,0.0747866173097941,755557.3911975633,ok
147,755398.5880151339,0.0659194756147136,133918.56058520367,14345488.877729865,0.00466761926786269,755086.047588278,ok
148,754917.8476269457,0.1127526185355464,63875.26280130702,7052408.072293233,0.004528613641364111,754773.2144337118,ok
149,754445.5974533907,0.11909282460614529,41628.77946473544,981674.7120913175,0.021202939707009098,754004.2712028571,ok
150,754181.6280958197,0.09845638297179048,46846.52301261954,2589698.032845789,0.009044784839478069,753969.7697352563,ok
151,753779.5238004392,0.15390178868494564,43686.55714934575,6181179.890144161,0.0035338364135788698,753702.33322722,ok
152,753526.6574948615,0.13542309149751663,19975.441155969012,69511.96949869409,0.1436834641575239,752091.5872031793,ok
153,751380.7148537332,0.051255790441099715,158695.23749605686,17232516.16500295,0.004604528902701589,751015.3564498473,ok
154,751109.1711112576,0.1224269926058727,53178.354278110055,3582869.3790224837,0.007421196344676503,750911.8476070653,ok
155,750985.6384913048,0.10381457458971544,52644.27419588785,4072545.0841798205,0.006463313862428364,750815.5102577109,ok
