round,beta_used,J_used,beta_best,J_best
0,0.00046682500127993105,106285986.83990768,0.005806299798221126,134187174.21490729
50,0.008871697594819119,362502.20725567266,0.004508324339651317,354277.3320114425
100,0.018917447814329014,87002.00767082348,0.012132587125390953,165322.67330606678
150,0.00999381330121928,24756.948656616732,0.01898129367913652,25106.007781938162
200,0.01010530557574143,24074.984794633463,0.01109503409831939,24014.927574646503
250,0.050136278779391516,80241.31095041148,0.09626070852486446,96224.54253582354
300,0.06053139717602968,53486.16842424683,0.05720440294366099,53895.44211077323
350,0.026354393917975238,5463.502381969243,0.016698790443063605,5597.07020776885
400,0.04957863266999625,3191.012983782217,0.02119737009615421,4280.805920376771
450,0.08492246703417895,4296.219498734921,0.04500239909409279,10981.554408133858
500,0.0997085990526002,20927.344082204625,0.06214389984302729,20019.482191810726
550,0.031392436751759505,2532.269155986607,0.08363558884681241,2813.1021271937657
600,0.10821536908928246,1475.5403382387012,0.04987760820259669,3266.4123277452372
650,0.12188707875374939,2949.158285079524,0.07175618067715331,6384.928132744648
700,0.15116545197992037,3966.9749552253634,0.10702722625127396,7536.857523799318
750,0.12622659363287422,1245.7453909199685,0.040697308572463106,4334.38077822789
800,0.035760053158410604,2134.7551544513553,0.030513647456190004,2171.792402166027
850,0.040709154828214696,3184.732437506318,0.033143794619751685,3190.923287174179
900,0.09460916899698117,405.9667017608881,0.04444100916788835,420.875267087861
950,0.09442370957158218,1161.8057112339884,0.037870701215455695,1431.905333576925
1000,0.16738376308938543,352.97688715159893,0.05649115784213654,706.8663450099813
1050,0.09396932010279163,323.6027395334095,0.7105756660243034,352.0409448590157
1100,0.2046569657535448,1106.5339857395738,0.07398184869071896,2950.207983293008
1150,0.0726955688556737,911.2142974026501,0.060389045297558994,918.6025791427512
1200,0.22793910066747503,285.99239131994545,0.0821860486173546,853.4665849658692
1250,0.12607459762388212,366.30198807269335,0.05093798431048188,406.9827381125765
1300,0.17993290537031748,89.47910716384649,0.09959658975722016,139.03568754216155
1350,0.09057781491363869,408.87899225763977,0.35599560933647356,453.2033078919988
1400,0.05048685178818311,596.2425950262696,0.036099868683681945,592.44555572655
1450,0.26273347646253925,1867.7562302052975,0.160111720356967,2901.6601240548966
1500,0.11251513160537574,378.38219092972577,0.08052520658351636,382.93985247110675
1550,0.2123573913512342,127.08248339779675,0.10040689367604444,203.10649882149818
1600,0.24870987432196714,176.6728063505143,0.11712603883084721,340.26364994300104
1650,0.21131846474420182,164.72951341979206,0.0772958076690216,307.0137553545415
1700,0.24401682253264895,72.42531027458608,0.12883412280951326,109.83806310186554
1750,0.24644033865586357,241.03471874073148,0.11032897758438884,317.2561930910954
1800,0.315312576596148,323.7768605556339,0.15425510694112599,783.0958458387657
1850,0.3382208458619116,960.843306498602,0.22826059923130582,1601.268410965274
1900,0.31185754603250676,88.38214198127389,0.1707561294782344,143.69424862262312
1950,0.10022655859929434,278.606008535251,0.07179031428131605,308.5628367854814
2000,0.07081814264350049,311.5892382469028,0.09815695567452759,301.5491153155186
2050,0.15948218473788628,77.05061132274568,0.09616998678181514,80.79009799304063
2100,0.3130020994191522,108.73139611072838,0.11745171386335923,309.0744513219305
2150,0.37036697896111237,36.1355353128165,0.16404678341286183,89.04239515653053
