round,beta_used,J_used,beta_best,J_best
0,0.0006061716540533689,112521684.36742419,0.0030179245266349847,139909552.42770296
50,0.004769264658596408,161651.09169538692,0.06992678472450606,263448.87117575976
100,0.03338876573822296,48846.95597563125,0.016993264308334578,163752.4583992582
150,0.02808062631932576,18565.760757029057,0.01336762380687597,39014.899099728165
200,0.015249493854323287,14921.371629782021,0.11846997304888604,16976.60271922381
250,0.043218107330298655,18061.797956636176,0.024290013958823336,20762.351900503192
300,0.05358815071535589,4938.235170129687,0.014542761340885897,6550.726109353343
350,0.07825659275885828,1778.1631529256701,0.02923213661574974,10382.546267576361
400,0.12517193402676666,1059.8805635720491,0.04759248945958971,14929.789121978338
450,0.17413498901899982,10736.011586962268,0.13464987284225446,19032.28645397013
500,0.09237521323261517,2062.9558573123068,0.026601772441380435,4146.850247973869
550,0.1301820781633369,419.4344523269683,0.0527215457621384,2040.0545131838949
600,0.12907332688379594,477.5394438058138,0.05608621691246874,2353.576765264281
650,0.22310928701298494,8492.92140321061,0.11282465846544007,16078.82481717081
700,0.08611459806328275,744.3091872446239,0.03325843364842546,1064.3729952862932
750,0.16144314905921062,565.8573617264628,0.0401069953048985,2336.915191026043
800,0.06543572267588238,2365.313778337091,0.02419739405792726,2887.3169329369634
850,0.16243378832289654,967.6411371249706,0.24034328925710643,1078.5241564736998
900,0.0986509578795218,1146.4392228759825,0.0654127323680493,1370.470097653979
950,0.1237743613972376,276.3914982415736,0.04157039443967822,1108.984346515682
1000,0.24504245618014497,488.55905447900295,0.10059688647768955,1877.1154722371728
1050,0.29193085129193236,331.06577778607607,0.09141057255373648,2853.155144047354
1100,0.1543572530264123,260.6026257965714,0.07013394330166718,617.5614560085398
1150,0.18922745207577088,306.5292103718966,0.07208088138840966,683.3673221228837
1200,0.31081941676567787,665.5795899666846,0.14649986050197472,2667.171916758509
1250,0.24892179160109984,224.31711917556822,0.11736992671119957,892.3307577695025
1300,0.13250980019109507,307.7245835568756,0.06395844262686247,443.26591117730925
1350,0.21784625048334677,206.02334317192435,0.0697645985258398,687.3171234310933
1400,0.22956025010885114,83.10253130923957,0.06722995996977474,232.12177924579706
1450,0.36094409362231056,227.13578596245497,0.08875260342712081,1181.52991999692
1500,0.46777659415937584,353.79042898025364,0.18861426988265897,2530.8177762258842
1550,0.39751107245505746,479.27569996006787,0.11344370277307529,1395.0153663007081
1600,0.16796716805409337,126.9342447752133,0.06399337969973228,212.91456018623973
1650,0.49692704065222804,607.3475096011534,0.22924873227965398,2831.4380284544436
1700,0.5395364582545314,79.02615609858185,0.23150532567049578,742.8484261990905
1750,0.3235116700970017,78.02477647177875,0.09056164928871412,725.5689626360715
1800,0.1541782042999677,262.29393156897277,0.06073760981554704,346.44331718035323
1850,0.5447289070212508,172.75327194295824,0.228957733935401,1948.409525671474
1900,0.5278270553914444,82.92578514758497,0.2278451295992096,393.1188111876723
1950,0.5077881499765686,132.83878089860082,0.18515686572010095,1931.4492162423644
