round,beta_used,J_used,beta_best,J_best
0,0.0004906600075913639,109903755.13802204,0.006079877055009047,142310592.42579532
50,0.008936126590319282,701057.0124204308,0.010726666159701033,764204.9078828716
100,0.014675997311260094,60966.691367242485,0.010264207925720555,82180.15784536838
150,0.020598211085227077,22427.997286235914,0.011660790724533597,43569.24270667515
200,0.033379102408458115,14859.727104386315,0.013887716606351744,30993.06916038649
250,0.046533401772074705,45058.743472734466,0.038113161140170396,64345.39946770826
300,0.034280565405191366,6204.9461653754115,0.12679987483596905,7633.833603735161
350,0.059396789014238775,8206.466482453048,0.022021582184042356,16600.50035639922
400,0.05732096117383934,1944.1165481843054,0.0271680485647566,6602.835933843756
450,0.06541486731710568,1735.7575110774487,0.03144233013032119,3386.567482169622
500,0.0739613276572452,1547.6477851867676,0.04119552020941093,3089.587752842565
550,0.11690483918061552,3740.6929630171508,0.060090088730911234,9935.066080788252
600,0.040186992781126765,5455.515407152474,0.05927478972886704,5311.753456858311
650,0.03048648259845313,3820.920409563929,0.025117985515302067,3808.1733720307057
700,0.08006099827896915,1373.988939512521,0.03123135747524011,1832.9650995103898
750,0.1603873554412586,4526.217454928905,0.1125779700651266,8775.189185875048
800,0.11267518169957812,574.104653885588,0.036640402665264415,1051.9611887005076
850,0.12355874907590374,524.0462675187737,0.03726486826429061,1079.4789588068368
900,0.1863783245705318,7475.595553934574,0.15332737752943423,8326.605358416224
950,0.053895646158083295,850.8983951881528,0.07166796451466316,854.4635956578484
1000,0.19290907270943145,1547.7192609142512,0.07167589061774456,3891.997146997757
1050,0.12928970030181575,259.1308191996068,0.06583379556849496,329.3686554494113
1100,0.09808969741892737,1027.6213150452822,0.08193339251260996,1024.0048464347312
1150,0.09614414900729573,451.2888244073838,0.04438597227895535,454.67352667571015
1200,0.18578092579563002,1132.1037592031062,0.06390326336427654,2206.906167841042
1250,0.23620250897394857,3212.0412332192063,0.11686647706261352,4133.1041964036995
1300,0.0832539864398544,375.1578673105687,0.09508763324321791,369.8163840273479
1350,0.22585829029196614,708.257168494165,0.09493232904301743,1704.2194858514483
1400,0.16581076374924403,104.60597010701895,0.10183592651749941,140.56528156653317
1450,0.2060653921111385,335.2134579438716,0.07277748475928875,939.3491972138726
1500,0.20160459241824388,254.62869238853455,0.09256349418555963,401.5114674349161
1550,0.18706155104278308,102.670734282583,0.08840911653647765,149.02571980418102
1600,0.23800504257952915,138.3234643600881,0.10480976637288551,272.6437516143605
1650,0.12141234026439557,127.98056884109974,0.10599386257561878,130.71154144580947
1700,0.20905403243187193,164.0780018903315,0.1007467109061035,288.42044404746713
1750,0.2839968456015189,131.3962166942656,0.11757708290473051,380.70923747495067
1800,0.2670076742789904,277.6204904727638,0.1005865332596869,529.3194484569087
1850,0.20859067929265604,83.37783730216324,0.08826549306437617,97.1460853872452
1900,0.2714973761961996,302.026711454615,0.08473345306843395,571.7322691624589
1950,0.24198480244736587,77.89301694370806,0.09844521464578766,108.81292100778313
2000,0.2938970621825878,137.94548670761287,0.10572463960234595,311.4357292292106
2050,0.2815107113737148,137.85875837504864,0.13017440046721823,248.01459514365638
