round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum,temp
0,446320807.0,0.00015023057348356484,223491377.5,78184915.38182873,1.0000060442470835,301013939.18547195,ok,446982755.0,-0.1924795119707996
1,299533985.0,0.0002479601911950577,134851390.50006747,16992372.459522553,1.00000000098005,181674966.8606007,ok,269702781.0,-0.08672610596661912
2,181721090.0,0.00028624769858515603,108212878.50000001,21779346.820756115,1.0000000947513956,95287552.19468205,ok,216425757.0,-0.00210706951045303
3,94938599.0,0.00037852292014018947,80958884.00004587,21055508.555325847,1.0000027521201367,35035116.64144272,ok,161917768.0,-0.017889154382111805
4,35409811.0,0.0006235802019270391,40536559.00001986,20391883.91136948,0.9939385486943345,15264386.689228997,ok,81073118.0,0.020091462941259852
5,15116761.0,0.0006686579640113677,35438164.500000134,64495688.25890138,0.2747328190199531,10248747.583011068,ok,70876329.0,-0.06835685274521763
6,10318954.0,0.0012986455478488882,22840826.00001221,69747151.76384106,0.1637402060327111,8448973.222400349,ok,45681652.0,-0.03263302312623084
7,8423458.0,0.001390820765963866,5111681.000002865,7315694.496311607,0.34936402843093356,7530539.266892568,ok,10223362.0,-0.041865578237874956
8,7582274.0,0.0018437334172143904,3621352.0,1289020.9763623779,1.0000151051136896,5249927.217339609,ok,7242704.0,-0.039059411626411134
9,5231472.0,0.00207401381296074,4160697.0000020266,7257218.045729566,0.286659224911283,4635120.911444359,ok,8321394.0,-0.06526842248900966
10,4634892.0,0.0027826328695808285,3098445.0,6470440.857516579,0.2394307488647083,4263960.496666945,ok,6196890.0,-0.05507576082109411
11,4245389.0,0.002779549069286,2728654.5000011204,5930101.908694624,0.2300680951199514,3931500.8284721295,ok,5457309.0,-0.06023197474355957
12,3897231.0,0.003495725399648541,2384655.5000010617,2066003.5902572994,0.5771179467563455,3209117.2570590805,ok,4769311.0,-0.05295175769924665
13,3195261.0,0.0029647782058542763,3197626.000001229,8292965.905014346,0.19279145945045925,2887023.5083415145,ok,6395252.0,-0.054925772597853584
14,2882908.0,0.003974295760506303,2258742.0000000005,2125496.019324028,0.531344678951304,2282822.728588087,ok,4517484.0,-0.05011000437179414
15,2281769.0,0.0029334079957300213,3085951.50000119,10284922.222174246,0.1500230839542905,2050287.0195182264,ok,6171903.0,-0.05845020141997992
