round,beta_used,J_used,beta_best,J_best
0,0.00022151585364569502,144968781.46434045,0.00028918759513397015,152269928.69677126
50,0.06474028709556635,4485.807172908098,0.03192327750166695,11933.090243653249
100,0.19367973163487995,793.4689193909289,0.03331008917834362,6905.956072522041
150,0.4034289277220037,159.2247058764333,0.046650040792743284,3262.2971421247075
200,0.3119603266497093,132.73712935426738,0.04215204661431434,618.0411121774315
250,0.5578012364561862,41.87358577048872,0.0647335823859183,1337.232098449621
300,0.3114281288321328,20.138158940011635,0.07313146780451873,79.92698564291301
350,1.1326771844870518,11.22671168972738,0.141717676787467,243.1285057347154
400,0.7050568691401574,10.971422387869097,0.17164687196136746,124.01735523603374
450,0.4056169092874247,7.172334449598566,0.2908880151956802,7.29044407605897
