round,beta_used,J_used,beta_best,J_best
0,6.458478121563971e-05,749270809.9534354,0.000292352867647942,1214234392.8388984
50,0.0008069990693178711,5309487.375102401,0.006128447994623979,10254873.953343794
100,0.0015457809559679674,2039204.2238016725,0.015894750711071985,3744128.2088516834
150,0.0024776689440343847,1156349.513266027,0.027866380956078837,2167408.8647392895
200,0.004096685665243507,650839.4201039076,0.024796072640173656,1164724.097647288
250,0.006373163201427799,333692.3476292491,0.020876582869768966,406943.42720757745
300,0.008346494946453445,235682.8987224698,0.033401032394121274,378328.6567809654
350,0.010216242381683829,161288.08714157343,0.024623481796841065,242943.42213333774
400,0.009035616193590128,9494.275189578533,0.04960287676147274,16944.704904588405
450,0.007313522627187669,36213.68603569269,0.02762574738385424,63448.13252547772
500,0.016773166104816325,63355.516855716705,0.061544837532314677,96888.01394708957
550,0.02082658723244282,51929.38019013405,0.03604939462987612,60063.41028158623
600,0.019928886185682455,42140.536994457245,0.04632888148455143,58959.67622412689
650,0.014670679248563797,21427.27820855379,0.01471187203173548,21426.240961196938
700,0.01356195068942179,3031.8631868362427,0.009649917296450062,8233.271016354884
750,0.020692994054876852,21959.702218294144,0.027809475788002923,23802.69468679204
800,0.014783293417182946,3964.5014985203743,0.20922064390997774,11203.851934168122
850,0.032591010545508815,5691.087814986706,0.07600197377156614,7903.990622059415
900,0.026534010803806827,19330.66959798336,0.09364374574355097,25432.689948561896
950,0.021332773628262157,8768.337028682232,0.01940649759694508,8980.010724234824
1000,0.03090024285424409,17407.18978780508,0.05008349448969391,21548.6548000467
1050,0.031305831536876196,8999.30317902565,0.01933503153892259,11488.630137303495
